Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z,Trunk_x,Trunk_y,Trunk_z
-140.32580049046663,54.0678348162874,90.54046830064343,-263.1360600512056,-101.97932095151526,-167.82990847468287,-127.42698872521792,-315.1218806148941,-137.8040888957949,-47.63621392022026,-34.60688583845326,-41.9835993215056,25.270855980429697,552.1260409537463,208.77418753967817
-140.37931171163655,53.701928596641444,90.59961841540883,-261.8097373823856,-103.51010613883531,-167.4747667079812,-126.648102536211,-317.19516457356514,-139.89505291831122,-47.989839631304264,-34.01766484681132,-42.07089133700234,25.29282627770179,551.7065909234867,208.6506221410585
-140.393644462651,53.09855241580502,90.78815219391589,-261.00869960730324,-105.0761497927661,-166.85888272899328,-126.30593821860248,-319.1716485730636,-141.73830053838398,-48.36813595913597,-33.532926458378405,-42.02122319509999,25.810796683220207,550.9646282505499,208.46878416416607
-140.43159685390813,52.77789747322438,90.84754643385428,-259.81460276759543,-106.4730132798955,-166.53392270653788,-125.41729080804522,-320.8342498914326,-143.46418025676672,-48.681526323149114,-33.12010332055205,-42.00241016693245,25.820588276500715,550.5872925398112,208.3555064377034
-140.430654329104,52.19672782872973,91.04641274080869,-259.2303840700448,-107.81654178499421,-165.98999957948763,-125.07177151800086,-322.32494531325784,-144.9476685451972,-49.01568455566124,-32.82571661848847,-41.853452175637365,26.378540598717432,549.856667299898,208.17548322199096
-140.45991616955845,51.928548141946585,91.09961193814668,-258.23337743262204,-108.90351830976743,-165.8109971297786,-124.17818168594154,-323.43446543010236,-146.3176347976048,-49.27251731323733,-32.60418184566807,-41.76196821450871,26.376389578220948,549.5289029843625,208.0690096143225
-140.44965305734175,51.372924638732385,91.30433580273099,-257.91638334528557,-109.89104616168581,-165.41148688982472,-123.93176876042457,-324.36131854244957,-147.43753613948425,-49.543878645327254,-32.49045683900884,-41.558801237964886,26.979988635858497,548.8103953553805,207.88652370694183
-140.47608212341365,51.16554004234589,91.34534445136441,-257.1310959033406,-110.58170063871015,-165.4196183049305,-123.11599434729604,-324.9178587396915,-148.46265038901757,-49.719696002276486,-32.41678118376288,-41.45878655055655,26.96053805835545,548.5378672643542,207.7839088476656
-140.46156182882123,50.63782124779832,91.55246635054841,-257.07780215903847,-111.17761197597844,-165.17244890030608,-123.0502937447474,-325.36230703218,-149.26356128430274,-49.90508414000945,-32.40774355561152,-41.27700666721541,27.612462157817752,547.8289022228431,207.59583659173325
-140.4899489230644,50.49673874468091,91.57563351278664,-256.4654740806259,-111.4835227701915,-165.36082558852252,-122.36959300389326,-325.51110931793966,-150.03416728081822,-49.98513348817615,-32.38209833467255,-41.24535815101646,27.56467132445677,547.6172047202263,207.4965876161038
